rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C6H11N6O3	[M - H]-	C6H11N6O3	100.91912433373228	99.2601626729575	1.658961660774784	26	0.4247693514610441	-0.5047747541393915	4.204368226750373	-6.664593503790004	
2	C5H15N2O7	[M - H]-	C5H15N2O7	65.08365175895807	63.9790599187417	1.1045918402163706	17	0.16036475858894308	-3.753387442738625	3.753387442738625	-0.4174499050877426	
3	C4H9N9O2	[M - H]-	C4H9N9O2	34.92178971719554	31.95599912710508	2.965790590090457	9	0.13971498777870706	-4.673981867060588	4.673981867060588	-0.39273023882133545	
4	C3H13N5O6	[M - H]-	C3H13N5O6	28.383387452519237	27.600535512982326	0.7828519395369119	10	0.13023943360628631	-4.609917662092027	7.3965821992343495	5.854413359748165	
5	C2H14N7O3P	[M - H]-	C2H14N7O3P	6.361517433085918	6.361517433085918	0.0	6	0.07655651294419698	-8.602132711387997	8.602132711387997	-8.116037763881877	
6	C2H15N8S2	[M - H]-	C2H15N8S2	3.6182126057406165	2.8995557143910182	0.7186568913495983	7	0.06960301869177055	-1.9732840292649652	3.205854477043782	8.066926256747948	
7	C17H11	[M - H]-	C17H11	-1.9846941042992547	-1.9846941042992547	0.0	1	0.0	8.151605269394741	8.151605269394741	8.226342880144365	
8	C2H7N12O	[M - H]-	C2H7N12O	-3.873653217580461	-4.431735106267329	0.5580818886868681	5	0.07680288383612444	13.621136787937113	13.621136787937113	5.879133026014572	
9	C13H14NP	[M - H]-	C13H14NP	-4.292638455682368	-4.292638455682368	0.0	1	0.0	6.700160900957262	6.700160900957262	6.774898620185255	
10	C14H15S	[M - H]-	C14H15S	-4.714267945744923	-4.714267945744923	0.0	2	0.00641212663463845	-2.5693341673009513	5.026068381061557	-7.52066376070955	
