rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.08952346619214037	-50.63518323983819	C7H12O3	[M - H]-	WUPHOULIZUERAE	InChI=1S/C7H12O3/c8-7(9)4-3-6-2-1-5-10-6/h6H,1-5H2,(H,8,9)	3-(2-oxolanyl)propanoate	C1CC(OC1)CCC(=O)O	0.5	263161;7678799;7678800;7437898;7437899;21694417	Training Set;PubChem:(263161 7678799 7678800 7437898 7437899 21694417);PubMed	16450
2	1	N/A	-51.69445691341472	C7H12O3	[M - H]-	IZOQMUVIDMLRDC	InChI=1S/C7H12O3/c1-6(8)4-2-3-5-7(9)10/h2-5H2,1H3,(H,9,10)	6-oxoheptanoate	CC(=O)CCCCC(=O)O	0.711322546	98810;6993761;132990720	NORMAN:(NS00046626);PubChem class - safety and toxic;PubChem:(98810 6993761 132990720);KEGG Mine;PubChem class - bio and metabolites	8674082818
3	1	N/A	-52.82119795290258	C7H12O3	[M - H]-	HCFRWBBJISAZNK	InChI=1S/C7H12O3/c8-6-3-1-5(2-4-6)7(9)10/h5-6,8H,1-4H2,(H,9,10)	4-hydroxycyclohexane-1-carboxylate	C1CC(CCC1C(=O)O)O	0.300000012	151138;19034555	HMDB:(1988);SuperNatural:(SN00264543 SN00216102);ZINC bio:(ZINC08383223);additional;MeSH:(151138);PubMed;COCONUT:(CNP0177670);Natural Products:(UNPD122435);PubChem:(151138 19034555);CHEBI:(89341 16817 57906);PubChem class - bio and metabolites;KEGG:(C04404);PubChem class - safety and toxic;Training Set;Biocyc:(4-HYDROXYCYCLOHEXANECARBOXYLATE)	87615854
4	1	N/A	-58.02152002604297	C7H12O3	[M - H]-	PHADZMIQVBXNAW	InChI=1S/C7H12O3/c1-2-6(8)4-3-5-7(9)10/h2-5H2,1H3,(H,9,10)	5-oxoheptanoate	CCC(=O)CCCC(=O)O	0.200000003	5282979;21803127	PubChem:(5282979 21803127)	2
5	1	N/A	-63.445354171649825	C7H12O3	[M - H]-	MECUFXSTMGXQLK	InChI=1S/C7H12O3/c8-6-3-1-5(6)2-4-7(9)10/h5-6,8H,1-4H2,(H,9,10)	null	C1CC(C1CCC(=O)O)O	0.200000003	68606504	PubChem:(68606504)	2
6	1	N/A	-64.56407551365928	C7H12O3	[M - H]-	OOFMTFUTWFAVGC	InChI=1S/C7H12O3/c8-6-4-2-1-3-5-7(9)10/h6H,1-5H2,(H,9,10)	7-Oxoheptanoate	C(CCC=O)CCC(=O)O	0.400000006	169732;9548029	NORMAN:(NS00029946);PubChem:(169732 9548029);YMDB Mine;CHEBI:(80588);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C16590);PubMed;Biocyc:(CPD-338)	51556649314
7	1	N/A	-67.17433007930812	C7H12O3	[M - H]-	ZWTJOKSVPMDNNK	InChI=1S/C7H12O3/c1-2-6(8)4-3-5-7(9)10/h2,6,8H,1,3-5H2,(H,9,10)	(5S)-5-hydroxyhept-6-enoic Acid	C=CC(CCCC(=O)O)O	0.400000006	11506470;17769260	PubChem:(11506470 17769260)	2
8	1	N/A	-68.66331235707518	C7H12O3	[M - H]-	KADUHWWQSRFDJM	InChI=1S/C7H12O3/c8-6(5-1-2-5)3-4-7(9)10/h5-6,8H,1-4H2,(H,9,10)	null	C1CC1C(CCC(=O)O)O	0.200000003	61649299	PubChem:(61649299)	2
9	1	N/A	-69.6088048039097	C7H12O3	[M - H]-	ACHSNZNVVUIPJX	InChI=1S/C7H12O3/c1-2-3-6(8)4-5-7(9)10/h2-5H2,1H3,(H,9,10)	4-oxoheptanoate	CCCC(=O)CCC(=O)O	0.200000003	5282978;19352836	PubChem:(5282978 19352836)	2
10	1	N/A	-73.5241673736861	C7H12O3	[M - H]-	KFHJRROXJGRADI	InChI=1S/C7H12O3/c1-2-5-3-4-6(10-5)7(8)9/h5-6H,2-4H2,1H3,(H,8,9)	5-ethyloxolane-2-carboxylic acid	CCC1CCC(O1)C(=O)O	1.20000005	71755919;95970263;95970264;95970265;95970266	PubChem:(71755919 95970263 95970264 95970265 95970266)	2
