rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C20H32O9	[M - H]-	C20H32O9	97.03631995846331	93.26278667374409	3.7735332847192242	31	0.9148862518226973	1.7227530770531532	2.456289147701373	0.27420227431493305	
2	C16H28N6O7	[M - H]-	C16H28N6O7	88.29374115634708	86.27954133640944	2.0141998199376516	30	0.847604708783327	2.9472001492140647	3.6055694993982117	6.7418910105103675	
3	C14H33N4O8P	[M - H]-	C14H33N4O8P	85.97294314030198	83.83415123396529	2.1387919063366945	30	0.8476047087833269	2.2520998433761017	2.954749898875603	2.759665396096055	
4	C13H32N6O7S	[M - H]-	C13H32N6O7S	84.79478748676287	82.21859494774915	2.5761925390137224	30	0.8476047087833269	1.7199950773317525	2.7367615415128665	-1.377445554737256	
5	C15H33ClN4O7	[M - H]-	C15H33ClN4O7	84.2372587830294	84.2372587830294	0.0	30	0.8476047087833269	2.0842360781726086	2.7329178068767366	2.334735061251775	
6	C18H30N3O8	[M - H]-	C18H30N3O8	83.88271668096651	80.7599081084166	3.122808572549921	30	0.847604708783327	2.8440610897639083	3.090540296297652	3.5080466424126504	
7	C21H28N4O5	[M - H]-	C21H28N4O5	83.59883025684756	81.19346706228856	2.4053631945590004	29	0.8394437660782661	1.7172370776103516	3.1203601601524196	-2.9468963513153574	
8	C16H35NO9P	[M - H]-	C16H35NO9P	82.45902758302385	79.05656120703375	3.402466375990105	30	0.847604708783327	1.7199950773317525	2.6209561493874545	-0.47417897186475527	
9	C17H35ClNO8	[M - H]-	C17H35ClNO8	79.50335147453455	79.50335147453455	0.0	30	0.847604708783327	1.7199950773317525	2.6209561493874545	-0.8991093068459421	
10	C15H29N8O4P	[M - H]-	C15H29N8O4P	77.21578708095596	73.97399676698568	3.241790313970282	27	0.792365416760518	1.7227530770531532	2.8336798659852453	-0.4614332295342352	
