rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C10H16O6	[M - H2O - H]-	C10H14O5	83.38627489084776	83.38627489084776	0.0	26	0.940842622281625	2.183181849606934	2.944006661958753	-84524.34976576302	
2	C8H14N3O5	[M - H2O - H]-	C8H12N3O4	36.80030843704287	36.80030843704287	0.0	20	0.31551259851332936	3.033057009209485	3.289897610451111	-84518.04836889851	
3	C11H12N4O2	[M - H2O - H]-	C11H10N4O	2.727024900716099	2.727024900716099	0.0	8	0.1233910312543208	0.16387216106683555	3.204585552286296	-84530.62632655888	
4	C11H20OS2	[M - H2O - H]-	C11H18S2	-0.8053448223396293	-0.8053448223396293	0.0	2	0.0	-2.248592652143586	2.248592652143586	-84528.42823122066	
5	CH14N9O3S	[M - H2O - H]-	CH12N9O2S	-3.588406198233841	-3.588406198233841	0.0	7	0.15901055417657015	5.2842346158676206	5.2842346158676206	-84521.26673294675	
6	C9H10N7O	[M - H2O - H]-	C9H8N7	-3.764330329047664	-3.764330329047664	0.0	3	0.07984435387765584	7.776985183836411	7.776985183836411	-84524.32492969435	
7	C5H13N8OP	[M - H2O - H]-	C5H11N8P	-5.230615500491153	-5.230615500491153	0.0	2	0.0	0.3964294436264805	0.3964294436264805	-84525.78320866545	
8	C7H15N5O2P	[M - H2O - H]-	C7H13N5OP	-5.779862520883762	-5.779862520883762	0.0	8	0.11825549929880239	0.16387216106683555	3.204585552286296	-84532.0846055301	
9	C8H15ClN5O	[M - H2O - H]-	C8H13ClN5	-5.9062404602290295	-5.9062404602290295	0.0	3	0.07984435387765584	3.4831431345076673	10.216119071529702	-84532.91261528424	
10	CH16N9OP2	[M - H2O - H]-	CH14N9P2	-13.525350754723192	-13.525350754723192	0.0	2	0.0	-1.061849274249104	1.061849274249104	-84527.2414876367	
