rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C9H15ClO5	[M - H]-	C9H15ClO5	24.60751856158373	17.837219336032994	6.770299225550737	4	0.9093804719419663	2.4836114844646575	2.4836114844646575	0.5703016377779148	
2	C10H11ClN4O	[M - H]-	C10H11ClN4O	19.82094461454262	14.120723189199042	5.700221425343576	2	0.8338197281747686	-4.81649750641411	4.81649750641411	-5.071425218420693	
3	C10H19ClS2	[M - H]-	C10H19ClS2	16.41362735930566	12.023910459615518	4.389716899690144	2	0.8338197281747686	-2.487223164364286	2.487223164364286	-3.09565315061288	
4	C8H9ClN7	[M - H]-	C8H9ClN7	15.63268179218392	9.551828495125964	6.080853297057956	2	0.8338197281747686	1.8609571883012743	1.8609571883012743	0.5926256973420964	
5	C4H12ClN8P	[M - H]-	C4H12ClN8P	8.187330994384912	5.111186118399334	3.0761448759855776	2	0.8338197281747686	0.31565033459362307	0.31565033459362307	-0.7181576924155381	
6	C8H15O6P	[M - H]-	C8H15O6P	7.202932661388666	4.606767695079133	2.596164966309533	3	0.07556074376719754	3.743396030540723	3.743396030540723	1.3145635066325922	
7	C10H10N2O5	[M - H]-	C10H10N2O5	2.9575204610044006	1.0	1.9575204610044006	1	0.0	NaN	NaN	8.289397812153016	
8	C11H6N6O	[M - H]-	C11H6N6O	2.9319141880681974	1.0	1.9319141880681974	1	0.0	NaN	NaN	2.6476709558345126	
9	C9H11N4O2P	[M - H]-	C9H11N4O2P	2.1009530931858267	-0.6094379124341005	2.710391005619927	1	0.0	NaN	NaN	-4.327163349566016	
10	C7H14N2O5S	[M - H]-	C7H14N2O5S	1.2869878815423885	-0.6094379124341003	1.8964257939764888	1	0.0	NaN	NaN	-5.931551149350995	
