rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C10H14O6	[M - H2O - H]-	C10H12O5	57.08095144772528	54.186798311773885	2.894153135951398	14	0.9584909602780101	2.5271058061623206	2.9578980154019647	-85332.33322582649	
2	C7H17ClNO5	[M - H2O - H]-	C7H15ClNO4	27.9582251510692	27.9582251510692	0.0	13	0.9436666959926099	-0.001967344903249929	1.2559710099568007	-85334.64135038167	
3	C8H12N3O5	[M - H2O - H]-	C8H10N3O4	21.368765685665384	20.80238788349714	0.5663778021682453	9	0.7807372542119387	2.6773371633817753	2.9657897100266117	-85325.97164573662	
4	C6H17NO6P	[M - H2O - H]-	C6H15NO5P	10.589410626975571	10.589410626975571	0.0	12	0.3938052610742093	0.43260487534353487	0.5058352085108158	-85333.80543249233	
5	C11H10N4O2	[M - H2O - H]-	C11H8N4O	3.181235512458431	0.48608752611209427	2.6951479863463366	4	0.05683367791316588	-5.2706169555766245	5.2706169555766245	-85338.66973264398	
6	C9H8N7O	[M - H2O - H]-	C9H6N7	-1.511687384573654	-3.696051421424044	2.18436403685039	3	0.01890423613249461	6.790217840898099	6.790217840898099	-85332.30815255412	
7	C5H15ClN4O4	[M - H2O - H]-	C5H13ClN4O3	-1.7046978804471715	-1.7046978804471715	0.0	6	0.14106695112831566	-1.0012547589773262	2.1539359483573834	-85328.27977029167	
8	C4H15N4O5P	[M - H2O - H]-	C4H13N4O4P	-1.8754245230944084	-1.8754245230944084	0.0	6	0.14106695112831566	0.43260487534353487	0.6630667351456587	-85327.44385240259	
9	C5H11N8OP	[M - H2O - H]-	C5H9N8P	-4.967952374072719	-4.967952374072719	0.0	2	0.0	-0.38124404132493517	0.38124404132493517	-85333.78035921996	
10	C8H13ClN5O	[M - H2O - H]-	C8H11ClN5	-6.016395967304273	-6.016395967304273	0.0	2	0.0	-7.5787412701719905	7.5787412701719905	-85340.97785719916	
