rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.13605488205282157	-74.77857871889343	C7H12O4	[M - H]-	BTUDGPVTCYNYLK	InChI=1S/C7H12O4/c1-7(2,6(10)11)4-3-5(8)9/h3-4H2,1-2H3,(H,8,9)(H,10,11)	2,2-Dimethylglutaricacid	CC(C)(CCC(=O)O)C(=O)O	0.72759217	12681;6950255	NORMAN:(NS00014654);COCONUT:(CNP0170595);HMDB:(61676);PubChem:(12681 6950255);SuperNatural:(SN00001383);CHEBI:(68459);ZINC bio:(ZINC00388608);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set;PubMed	87318634
2	1	N/A	-81.62413584993054	C7H12O4	[M - H]-	WLJVNTCWHIRURA	InChI=1S/C7H12O4/c8-6(9)4-2-1-3-5-7(10)11/h1-5H2,(H,8,9)(H,10,11)	Pilerate	C(CCC(=O)O)CCC(=O)O	0.815277815	385;5242388;5459958;12314295;12314296;57667286;57667292;71309003;91549245;102602321	HMDB:(857);SuperNatural:(SN00002057 SN00288783);ZINC bio:(ZINC01529489);additional;MeSH:(385);Plantcyc:(CPD-205);PubMed;NORMAN:(NS00003808);COCONUT:(CNP0076251 CNP0143018);KNApSAcK:(1199);Natural Products:(UNPD188581);PubChem:(385 5242388 5459958 12314295 12314296 57667286 57667292 71309003 91549245 102602321);YMDB Mine;CHEBI:(30531 17774 36165);PubChem class - bio and metabolites;KEGG:(C02656);PubChem class - safety and toxic;Training Set;Biocyc:(CPD-205 CPD8J2-6)	34447747454
3	1	N/A	-94.0574609552392	C7H12O4	[M - H]-	OGQASQNFAKXVRJ	InChI=1S/C7H12O4/c1-5(8)6(9)3-2-4-7(10)11/h6,9H,2-4H2,1H3,(H,10,11)	null	CC(=O)C(CCCC(=O)O)O	-0.5	58060674;58060675	PubChem:(58060674 58060675)	2
4	1	N/A	-95.74185457093935	C7H12O4	[M - H]-	PDKMMJSDNSIMJP	InChI=1S/C7H12O4/c1-5(8)6(9)3-2-4-7(10)11/h5,8H,2-4H2,1H3,(H,10,11)	null	CC(C(=O)CCCC(=O)O)O	-0.5	102009661	PubChem:(102009661)	2
5	1	N/A	-104.17918355487893	C7H12O4	[M - H]-	HTEAPXDQVCMMEB	InChI=1S/C7H12O4/c1-3-4-7(2,5(8)9)6(10)11/h3-4H2,1-2H3,(H,8,9)(H,10,11)	2,2-Pentanedicarboxylic acid	CCCC(C)(C(=O)O)C(=O)O	1.29999995	12406092	PubChem:(12406092)	2
6	1	N/A	-106.63580901571832	C7H12O4	[M - H]-	JLJDKPZTDVHXEU	InChI=1S/C7H12O4/c8-5-4-6(9)2-1-3-7(10)11/h5-6,9H,1-4H2,(H,10,11)	null	C(CC(CC=O)O)CC(=O)O	-0.699999988	20243701;88468840	PubChem:(20243701 88468840);KEGG Mine	8589934594
7	1	N/A	-107.10031040596063	C7H12O4	[M - H]-	PPJLMUKXCKENOV	InChI=1S/C7H12O4/c1-2-3-4-5(8)6(9)7(10)11/h5,8H,2-4H2,1H3,(H,10,11)	null	CCCCC(C(=O)C(=O)O)O	0.800000012	54201207	PubChem:(54201207);PubMed	66
8	1	N/A	-107.83605412822374	C7H12O4	[M - H]-	DUHQIGLHYXLKAE	InChI=1S/C7H12O4/c1-7(2,3-5(8)9)4-6(10)11/h3-4H2,1-2H3,(H,8,9)(H,10,11)	3,3-Dimethylglutarate	CC(C)(CC(=O)O)CC(=O)O	0.400000006	20984;6950256;20473996	HMDB:(2441);SuperNatural:(SN00216204);ZINC bio:(ZINC00388609);additional;MeSH:(20984);PubMed;NORMAN:(NS00014705);COCONUT:(CNP0057490);PubChem:(20984 6950256 20473996);CHEBI:(68502);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set	87842926
9	1	N/A	-110.58397132682707	C7H12O4	[M - H]-	FDYJJKHDNNVUDR	InChI=1S/C7H12O4/c1-3-7(2,6(10)11)4-5(8)9/h3-4H2,1-2H3,(H,8,9)(H,10,11)	Isopimelic Acid	CCC(C)(CC(=O)O)C(=O)O	0.5	97776;7000069;7000070;6993887;6993888;22174068;23554021	NORMAN:(NS00041588);COCONUT:(CNP0106701);PubChem:(97776 7000069 7000070 6993887 6993888 22174068 23554021);SuperNatural:(SN00119862 SN00120363);ZINC bio:(ZINC01670887 ZINC02043257)	3416066
10	1	N/A	-111.13196076175853	C7H12O4	[M - H]-	QPWARAPJYVWHTI	InChI=1S/C7H12O4/c1-11-6(5-8)3-2-4-7(9)10/h5-6H,2-4H2,1H3,(H,9,10)	null	COC(CCCC(=O)O)C=O	-0.100000001	88747951	PubChem:(88747951)	2
