DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,ToxCast Active,ToxCast Total,% ToxCast Active,HIT CALL,TOP,SCALED TOP,AC50,LOGAC50
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020076,Amitrole,61-82-5,C2H4N4,84.043596,2,385,1.0,Inactive,-0.07281440378891701,-0.1136918511726702,0.16147964665676612,-0.7918822095663095
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020020,Actarit,18699-02-0,C10H11NO3,193.073893,0,316,0.0,Inactive,-0.13479791945202765,-0.21047243676062585,100.00000000000003,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020072,4-Biphenylamine hydrochloride,2113-61-3,C12H12ClN,205.065827,23,328,7.0,Inactive,-0.3257488272970147,-0.5086217185831176,28.733630380387524,1.4583905008462221
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020022,Acifluorfen,50594-66-6,C14H7ClF3NO5,360.996485,48,680,7.0,Inactive,0.05436954548390143,0.08489219099288021,50,1.6989700043360187
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020105,Sodium L-ascorbate,134-03-2,C6H7NaO6,198.014032,14,620,2.0,Inactive,0.06885345957558196,0.10750726328108766,0.00900000000790785,-2.0457574901790823
https://comptox.epa.gov/dashboard/chemical/details/DTXSID001339559,AFFF Solberg F2(0.5X) + F3(0.5X),NOCAS_1339559,, ,7,81,9.0,Inactive,-0.04183109492341175,-0.06531475052943098,0.05,-1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00190950,6:1 Fluorotelomer alcohol,375-82-6,C7H3F13O,349.997631,42,233,18.0,Active,0.8853764124090823,1.3824199344296133,274.51175973092245,2.4385609538019724
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00192353,8:2 Fluorotelomer sulfonic acid,39108-34-4,C10H5F17O3S,527.968794,26,258,10.0,Inactive,-0.13751479980078257,-0.21471455288314517,0.6660920350811841,-0.17646575946875578
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00194615,"1H,1H,9H-Perfluorononyl acrylate",4180-26-1,C12H6F16O2,486.011230,52,235,22.0,Inactive,-0.4104651503908296,-0.640897135202595,150.00000000000006,2.1760912590556813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020236,Calcium lactate,814-80-2,C6H10CaO6,218.010329,4,318,1.0,Inactive,0.2571583681905507,0.40152510221579146,50,1.6989700043360187
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020107,Aspartame,22839-47-0,C14H18N2O5,294.121572,2,409,0.0,Inactive,0.037020307728016934,0.0578032243288214,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020151,Benzyl acetate,140-11-4,C9H10O2,150.068080,12,355,3.0,Inactive,0.07105304959042111,0.11094168624680927,0.27755439535897164,-0.5566518907784086
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020280,1-Chloro-2-nitrobenzene,88-73-3,C6H4ClNO2,156.993056,0,321,0.0,Inactive,-0.050603963261198315,-0.07901263981392545,24.999999999999996,1.3979400086720375
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020286,3-Chloro-4-methylaniline,95-74-9,C7H8ClN,141.034527,9,357,3.0,Inactive,-0.13417619140444392,-0.2095016753593422,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020288,4-Chloro-2-methylaniline hydrochloride,3165-93-3,C7H9Cl2N,177.011205,19,321,6.0,Inactive,-0.09821482179233704,-0.1533518688765849,0.647399127551439,-0.1888278901973491
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020311,Monuron,150-68-5,C9H11ClN2O,198.055991,16,598,3.0,Inactive,-0.10774399465966722,-0.16823064624832312,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020232,Caffeine,58-08-2,C8H10N4O2,194.080376,49,652,8.0,Inactive,-0.23849560834200959,-0.372385212238493,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020365,Cyclosporin A,59865-13-3,C62H111N11O12,1201.841368,166,472,35.0,Inactive,-0.2680478992090434,-0.4185279323630197,9.459312799586193,0.9758595869104375
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020361,Cyclohexylamine hydrochloride,4998-76-9,C6H14ClN,135.081477,3,316,1.0,Inactive,-0.17877135097096422,-0.2791322152063226,1.3935384449037818,0.1441189545199061
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020319,Chlorothalonil,1897-45-6,C8Cl4N2,263.881559,341,737,46.0,Inactive,0.16664602326517802,0.2601998215971899,0.0006862384702392764,-3.1635249392318694
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020494,Dimethyl methylphosphonate,756-79-6,C3H9O3P,124.028931,2,356,1.0,Inactive,-0.09765314110156165,-0.15247486495731474,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020446,Diuron,330-54-1,C9H10Cl2N2O,232.017018,86,701,12.0,Inactive,0.3348746334003426,0.5228706821856751,3.250868418849805,0.5119993914819995
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020282,"4-Chloro-1,3-diaminobenzene",5131-60-2,C6H7ClN2,142.029776,10,318,3.0,Inactive,0.09030957759493784,0.14100868126524688,0.08000000048042505,-1.096910010399982
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020284,"2-Chloro-1,4-diaminobenzene sulfate (1:1)",61702-44-1,C6H9ClN2O4S,239.997156,183,438,42.0,Active,-0.9518285154960953,-1.4861777381216017,21.03189136668869,1.32287832989892
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020442,"2,4-Dichlorophenoxyacetic acid",94-75-7,C8H6Cl2O3,219.969400,25,666,4.0,Inactive,0.277257768787485,0.4329081520303715,0.020933355665494632,-1.679161147667375
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020440,Dichlorprop,120-36-5,C9H8Cl2O3,233.985050,10,654,2.0,Inactive,0.1753754232631097,0.273829839749486,0.053586556152399295,-1.2709441528662362
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020498,Dimethyl terephthalate,120-61-6,C10H10O4,194.057909,25,570,4.0,Inactive,0.014203636303597165,0.02217744870122931,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020523,"2,4-Dinitrophenol",51-28-5,C6H4N2O5,184.012021,129,572,23.0,Inactive,0.17711550566141304,0.27654679104980273,0.33364160458040565,-0.4767197988224289
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020529,"2,4-Dinitrotoluene",121-14-2,C7H6N2O4,182.032757,21,601,3.0,Inactive,-0.37238119180953855,-0.5814331345957628,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020604,4-Vinyl-1-cyclohexene diepoxide,106-87-6,C8H12O2,140.083730,10,579,2.0,Inactive,0.1121664198061717,0.17513578692675566,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020573,17beta-Estradiol,50-28-2,C18H24O2,272.177630,188,657,29.0,Active,-1.0546806316857191,-1.6467702428755133,17.916748758323365,1.253259203739897
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020575,Estragole,140-67-0,C10H12O,148.088815,3,345,1.0,Inactive,0.17339142199720015,0.27073203540154306,0.11575395380383359,-0.9364641658749215
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020577,Ethionamide,536-33-4,C8H10N2S,166.056470,3,321,1.0,Inactive,0.46559682300359234,0.7269793056446009,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020606,Bis(2-ethylhexyl)hexanedioate,103-23-1,C22H42O4,370.308310,6,582,1.0,Inactive,-0.09068593955138338,-0.14159632993519003,0.6166107731207415,-0.20998889176322666
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020652,Gemfibrozil,25812-30-0,C15H22O3,250.156895,18,379,5.0,Inactive,0.23657414172072364,0.3693850490046667,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020654,Geranyl acetate,105-87-3,C12H20O2,196.146330,7,584,1.0,Inactive,0.1690415767187774,0.26394022037203024,100.00000000000003,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020656,Gibberellic acid,77-06-5,C19H22O6,346.141638,1,345,0.0,Inactive,-0.11314177907049089,-0.17665870539547407,0.014371246308494732,-1.8425055671871768
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020737,Indole,120-72-9,C8H7N,117.057849,5,354,1.0,Inactive,-0.3491326905237533,-0.545133103137242,19.93949128751912,1.299714074043762
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020814,Mestranol,72-33-3,C21H26O2,310.193280,131,527,25.0,Inactive,-0.09924038253492773,-0.1549531715481437,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021040,N-Nitrosohexamethyleneimine,932-83-2,C6H12N2O,128.094963,2,319,1.0,Inactive,-0.06854570410817845,-0.10702673625653017,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020941,Sodium nitrite,7632-00-0,NNaO2,68.982673,1,575,0.0,Inactive,0.08914229400469273,0.13918609362718606,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020943,5-Nitro-o-anisidine,99-59-2,C7H8N2O3,168.053492,21,601,3.0,Inactive,0.14073121695151086,0.21973664193395856,0.009000000187903576,-2.045757481493399
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021094,"4,4'-Oxydianiline",101-80-4,C12H12N2O,200.094963,44,614,7.0,Inactive,0.11435036182223417,0.1785457772272971,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021125,Phenolphthalein,77-09-8,C20H14O4,318.089209,208,659,32.0,Inactive,-0.2798350848750334,-0.43693235358669985,52.27956379991432,1.7183319553415495
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021121,Phenformin hydrochloride,834-28-6,C10H16ClN5,241.109423,26,321,8.0,Inactive,0.24156556375080523,0.37717861704965283,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021123,Phenobarbital sodium,57-30-7,C12H11N2NaO3,254.066736,14,663,2.0,Inactive,0.20739689371616085,0.32382791792687643,0.02562606786846373,-1.5913180279959687
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021206,"1,2-Propylene glycol",57-55-6,C3H8O2,76.052429,5,605,1.0,Inactive,-0.1169727358048821,-0.18264033183518183,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021175,Polysorbate 80,9005-65-6,, ,12,346,3.0,Inactive,0.05186231538261866,0.08097742115754625,50,1.6989700043360187
