rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C22H12O18S	[M - H]-	C22H12O18S	11.18614893445158	11.18614893445158	0.0	2	0.36746197687194315	-3.5281739033984825	3.5281739033984825	-6.282893676791591	
2	C10H19N2O21P3	[M - H]-	C10H19N2O21P3	11.082672602847474	7.853255556986897	3.2294170458605764	2	0.36746197687194315	0.34894841077898264	0.34894841077898264	2.321040326392134	
3	C11H15N6O17P3	[M - H]-	C11H15N6O17P3	10.784159917906672	7.77313354461226	3.0110263732944125	2	0.36746197687194315	-2.1698371305088173	2.1698371305088173	0.0731844834527922	
4	C18H8N6O16S	[M - H]-	C18H8N6O16S	10.713349822664169	10.713349822664169	0.0	2	0.36746197687194315	1.5293306215029645	1.5293306215029645	-1.769392661862233	
5	C17H12N2O20S	[M - H]-	C17H12N2O20S	10.589428566788978	10.589428566788978	0.0	2	0.36746197687194315	4.048116162790764	4.048116162790764	0.4784631810771087	
6	C19H12N6O11S3	[M - H]-	C19H12N6O11S3	10.368380796114925	10.368380796114925	0.0	2	0.36746197687194315	-0.1073586673750156	0.1073586673750156	-3.2300337211243053	
7	C27H16O8S4	[M - H]-	C27H16O8S4	10.354301735115751	10.354301735115751	0.0	2	0.36746197687194315	-0.4525175950406507	0.4525175950406507	-3.5380661040238794	
8	C19H20N2O10S5	[M - H]-	C19H20N2O10S5	10.340810956642123	10.340810956642123	0.0	2	0.36746197687194315	0.7747375850348044	0.7747375850348044	-2.4428189374470355	
9	C20H24N2O5S7	[M - H]-	C20H24N2O5S7	10.337101294721558	10.337101294721558	0.0	2	0.36746197687194315	-0.8619517038431758	0.8619517038431758	-3.903459996518025	
10	C26H12O13S2	[M - H]-	C26H12O13S2	10.323179070217545	10.323179070217545	0.0	2	0.36746197687194315	1.1841716938373295	1.1841716938373295	-2.0774250447618074	
