rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.08110528862149997	-178.47737530597385	C13H16O7	[M - H]-	QYBOZTPKEVVJKR	InChI=1S/C13H16O7/c14-6-8(11-9(15)10(16)13(18)20-11)19-12(17)7-4-2-1-3-5-7/h1-5,8-11,13-16,18H,6H2	null	C1=CC=C(C=C1)C(=O)OC(CO)C2C(C(C(O2)O)O)O	-0.899999976	70347240	PubChem:(70347240)	2
2	1	N/A	-178.60004509471574	C13H16O7	[M - H]-	VKUVHQLMDOUYND	InChI=1S/C13H16O7/c14-6-9(15)11(17)12(18)10(16)7-20-13(19)8-4-2-1-3-5-8/h1-6,9-12,15-18H,7H2	D-Glucose, 6-benzoate	C1=CC=C(C=C1)C(=O)OCC(C(C(C(C=O)O)O)O)O	-1.20000005	20056718;20843398;117722873	COCONUT:(CNP0152338);Natural Products:(UNPD144619);PubChem:(20056718 20843398 117722873);SuperNatural:(SN00382957)	3178498
3	1	N/A	-183.74339442003668	C13H16O7	[M - H]-	UPGIVUDGJZHZTN	InChI=1S/C13H16O7/c14-6-9(16)11(17)12(18)10(7-15)20-13(19)8-4-2-1-3-5-8/h1-5,7,9-12,14,16-18H,6H2	null	C1=CC=C(C=C1)C(=O)OC(C=O)C(C(C(CO)O)O)O	-1.20000005	54365131;117722872	PubChem:(54365131 117722872)	2
4	1	N/A	-189.48115083000835	C13H16O7	[M - H]-	CRQYVVOZYKOBCV	InChI=1S/C13H16O7/c1-2-20-9-5-3-7(8(14)4-6-10(15)16)11(12(9)17)13(18)19/h2-3,5,7,9,11-12,17H,1,4,6H2,(H,15,16)(H,18,19)	null	C=COC1C=CC(C(C1O)C(=O)O)C(=O)CCC(=O)O	-0.400602758	""	KEGG Mine	8589934592
5	1	N/A	-195.13431526392543	C13H16O7	[M - H]-	OIMIOVIUFNKSAJ	InChI=1S/C13H16O7/c14-7(15)10-1-11(8(16)17)3-12(2-10,9(18)19)6-13(20,4-10)5-11/h20H,1-6H2,(H,14,15)(H,16,17)(H,18,19)	null	C1C2(CC3(CC1(CC(C2)(C3)O)C(=O)O)C(=O)O)C(=O)O	-1.0	10039509	PubChem:(10039509)	2
6	1	N/A	-195.50374248254596	C13H16O7	[M - H]-	YCRIBICHWLKRHY	InChI=1S/C13H16O7/c1-18-7-2-4-8(5-3-7)19-13-12(17)11(16)10(15)9(6-14)20-13/h2-6,9-13,15-17H,1H3	null	COC1=CC=C(C=C1)OC2C(C(C(C(O2)C=O)O)O)O	-0.191719756	""	KEGG Mine	8589934592
7	1	N/A	-195.59613754667362	C13H16O7	[M - H]-	JPAUCQAJHLSMQW	InChI=1S/C13H16O7/c1-6-2-4-7(5-3-6)19-13-10(16)8(14)9(15)11(20-13)12(17)18/h2-5,8-11,13-16H,1H3,(H,17,18)	p-Cresol glucuronide	CC1=CC=C(C=C1)OC2C(C(C(C(O2)C(=O)O)O)O)O	0.400000006	154035;14299270;66849195;76974432;122198200;139025208	HMDB:(11686);SuperNatural:(SN00334503);ZINC bio:(ZINC06070968);additional;MeSH:(154035);PubMed;COCONUT:(CNP0252872);Natural Products:(UNPD177571);PubChem:(154035 14299270 66849195 76974432 122198200 139025208);CHEBI:(87986 133576);PubChem class - bio and metabolites;Training Set	20504686
8	1	N/A	-196.04094776933596	C13H16O7	[M - H]-	RNSGUFVBYFJFND	InChI=1S/C13H16O7/c14-6-9(15)11(17)12(18)10(16)7-20-13(19)8-4-2-1-3-5-8/h1-5,9,11-12,14-15,17-18H,6-7H2	null	C1=CC=C(C=C1)C(=O)OCC(=O)C(C(C(CO)O)O)O	-1.0	54276391;69816986	PubChem:(54276391 69816986)	2
9	1	N/A	-202.13826368752032	C13H16O7	[M - H]-	SHDVNJJCGLBBBT	InChI=1S/C13H16O7/c14-6-8-11(9(15)10(16)13(18)19-8)20-12(17)7-4-2-1-3-5-7/h1-5,8-11,13-16,18H,6H2	null	C1=CC=C(C=C1)C(=O)OC2C(OC(C(C2O)O)O)CO	-0.899999976	57032685	PubChem:(57032685)	2
10	1	N/A	-202.61382201162954	C13H16O7	[M - H]-	DVDDHUMGLRHBIE	InChI=1S/C13H16O7/c14-5-8-1-3-9(4-2-8)20-7-11(17)13(19)12(18)10(16)6-15/h1-5,10,12-13,15-16,18-19H,6-7H2	null	C1=CC(=CC=C1C=O)OCC(=O)C(C(C(CO)O)O)O	-1.39999998	87279235	PubChem:(87279235)	2
