rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C12H20O6	[M - H2O - H]-	C12H18O5	75.05475198982892	71.63874107461746	3.4160109152114577	13	0.9330436088622743	1.697911828799101	2.799369595080575	-74697.94151066495	
2	C10H18N3O5	[M - H2O - H]-	C10H16N3O4	44.05461979804048	41.89383595485138	2.1607838431890976	11	0.8771965523756923	1.9096117683281473	2.984751683360444	-74692.37271279535	
3	C13H16N4O2	[M - H2O - H]-	C13H14N4O	19.539224774491693	17.68289401734076	1.8563307571509327	7	0.6386825772881207	-0.11964209842246065	4.70847324264113	-74703.48835990192	
4	C3H18N9O3S	[M - H2O - H]-	C3H16N9O2S	12.051413907000477	12.051413907000477	0.0	5	0.6782217312732859	4.650158483379592	4.650158483379592	-74695.21691055688	
5	C9H19N5O2P	[M - H2O - H]-	C9H17N5OP	9.794114858575664	7.41163484787381	2.3824800107018542	7	0.6386825772881207	-0.11964209842246065	5.352843270436043	-74704.77709968504	
6	CH16N12O2S	[M - H2O - H]-	CH14N12OS	4.317184043338271	4.317184043338271	0.0	5	0.6782217312732858	7.062766452775886	7.062766452775886	-74689.64811268703	
7	C13H24OS2	[M - H2O - H]-	C13H22S2	-0.8513009173223289	-0.8513009173223289	0.0	2	0.0	-2.7259606932365505	2.7259606932365505	-74701.54581463763	
8	C11H14N7O	[M - H2O - H]-	C11H12N7	-1.3967791151877509	-3.6796093364065703	2.2828302212188194	2	0.0	0.9002926793389269	0.9002926793389269	-74697.9195620321	
9	C7H17N8OP	[M - H2O - H]-	C7H15N8P	-2.9810160549681908	-4.838301369819353	1.8572853148511625	2	0.0	-0.3884473763687798	0.3884473763687798	-74699.2083018152	
10	C12H23NOPS	[M - H2O - H]-	C12H21NPS	-9.671723785731361	-10.962638734420239	1.2909149486888771	2	0.0	9.967095709625331	9.967095709625331	-74688.85276091976	
