rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C13H26N6O8	[M - H]-	C13H26N6O8	14.066811355874302	11.5325727862965	2.5342385695778016	3	0.8642889009273126	1.14365880222934	2.511327390204176	-5.1767176379308975	
2	C14H22N10O4	[M - H]-	C14H22N10O4	12.903095850914937	10.902856828419997	2.00023902249494	3	0.8642889009273126	-4.796329852669731	4.796329852669731	-8.578262865303895	
3	C15H31N4O4PS	[M - H]-	C15H31N4O4PS	10.087440191804284	6.7562012085969645	3.3312389832073195	3	0.8850737707530034	0.4343696101947387	3.0791874581259857	-3.0181452679370424	
4	C21H30O5S	[M - H]-	C21H30O5S	9.766856170666864	9.766856170666864	0.0	4	0.9527022720754595	-1.0746227633151832	2.1196267694802344	-5.642844540694498	
5	C14H30N6O3S2	[M - H]-	C14H30N6O3S2	8.539167593128285	8.539167593128285	0.0	3	0.8642889009273126	-2.2371373519882325	2.2371373519882325	-7.387018017877027	
6	C15H28N3O9	[M - H]-	C15H28N3O9	8.356482635877342	6.293515231672639	2.062967404204703	3	0.8642889009273126	-4.825245923731498	4.825245923731498	-8.591722626718441	
7	C12H20N13O3	[M - H]-	C12H20N13O3	7.230801326868171	4.660845704218368	2.569955622649803	2	0.7966603996048564	-2.0321837779388927	3.192116419563802	-5.163257876371775	
8	C23H27N2O2P	[M - H]-	C23H27N2O2P	6.868849763836897	6.868849763836897	0.0	2	0.7966603996048564	-1.4934560868641469	3.243103222621605	-4.675517018127512	
9	C27H24NO2	[M - H]-	C27H24NO2	6.866938970298941	6.866938970298941	0.0	3	0.8642889009273126	2.7051847491156638	3.946253545069241	-3.885211301952847	
10	C19H28N3O4S	[M - H]-	C19H28N3O4S	6.403238948326877	4.1504231405688525	2.2528158077580236	3	0.8850737707530034	1.3869679278557392	2.288881693854051	-2.227839551906954	
