rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.10147830494768512	-87.02404001828064	C11H18O4	[M - H]-	JCQNHFRDNUMZFA	InChI=1S/C11H18O4/c12-8-10-9(15-10)6-4-2-1-3-5-7-11(13)14/h8-10H,1-7H2,(H,13,14)	null	C(CCCC1C(O1)C=O)CCCC(=O)O	1.89185727	""	KEGG Mine	8589934592
2	1	N/A	-94.60364690434831	C11H18O4	[M - H]-	PRHYKPOPIDLQKJ	InChI=1S/C11H18O4/c12-10(13)8-6-4-2-1-3-5-7-9-11(14)15/h6,8H,1-5,7,9H2,(H,12,13)(H,14,15)	2-Undecenedioic acid	C(CCCC=CC(=O)O)CCCC(=O)O	2.49668002	15369586;54204136;59435158	COCONUT:(CNP0037679 CNP0326959);PubChem:(15369586 54204136 59435158);SuperNatural:(SN00028379);ZINC bio:(ZINC31154979);additional	3678210
3	1	N/A	-95.09785292602574	C11H18O4	[M - H]-	NSOWKPZIMGYPMH	InChI=1S/C11H18O4/c1-9(12)7-8-10(13)5-3-2-4-6-11(14)15/h2-8H2,1H3,(H,14,15)	null	CC(=O)CCC(=O)CCCCCC(=O)O	0.200000003	13401224	PubChem:(13401224)	2
4	1	N/A	-101.03165829889036	C11H18O4	[M - H]-	SHRXCZSATOMRDG	InChI=1S/C11H18O4/c12-9(13)5-3-1-2-4-6-11(7-8-11)10(14)15/h1-8H2,(H,12,13)(H,14,15)	1-(6-carboxyhexyl)cyclopropane-1-carboxylic acid	C1CC1(CCCCCCC(=O)O)C(=O)O	1.89999998	21806546	PubChem:(21806546)	2
5	1	N/A	-101.2752763104539	C11H18O4	[M - H]-	NUJXPZCMZLDPOM	InChI=1S/C11H18O4/c1-9(12)8-10(13)6-4-2-3-5-7-11(14)15/h2-8H2,1H3,(H,14,15)	8,10-dioxoundecanoic acid	CC(=O)CC(=O)CCCCCCC(=O)O	1.0	318733	PubChem:(318733)	2
6	1	N/A	-102.53334454139905	C11H18O4	[M - H]-	LFXDRBHUCJTALO	InChI=1S/C11H18O4/c12-10(13)6-4-2-1-3-5-9-7-8-11(14)15-9/h9H,1-8H2,(H,12,13)	2-Furanheptanoic acid, tetrahydro-5-oxo-	C1CC(=O)OC1CCCCCCC(=O)O	2.29255199	71408987	PubChem:(71408987)	2
7	1	N/A	-104.22155773292455	C11H18O4	[M - H]-	QBPURIMJZCLJJI	InChI=1S/C11H18O4/c12-9(13)5-1-2-6-11(10(14)15)7-3-4-8-11/h1-8H2,(H,12,13)(H,14,15)	null	C1CCC(C1)(CCCCC(=O)O)C(=O)O	1.89999998	66633036	PubChem:(66633036)	2
8	1	N/A	-105.41247086897391	C11H18O4	[M - H]-	JEXXDUASKVPMOM	InChI=1S/C11H18O4/c1-3-10(15-9(2)12)7-5-4-6-8-11(13)14/h3,10H,1,4-8H2,2H3,(H,13,14)	null	CC(=O)OC(CCCCCC(=O)O)C=C	1.89999998	88636086	PubChem:(88636086)	2
9	1	N/A	-106.43156516765997	C11H18O4	[M - H]-	DRGHHIWJMBAABJ	InChI=1S/C11H18O4/c1-9(8-11(14)15)6-4-2-3-5-7-10(12)13/h6H,2-5,7-8H2,1H3,(H,12,13)(H,14,15)	null	CC(=CCCCCCC(=O)O)CC(=O)O	2.20000005	87495941	PubChem:(87495941)	2
10	1	N/A	-106.88954217332169	C11H18O4	[M - H]-	SBIRCKOYFIETKI	InChI=1S/C11H18O4/c1-2-9(11(14)15)7-5-3-4-6-8-10(12)13/h7H,2-6,8H2,1H3,(H,12,13)(H,14,15)	null	CCC(=CCCCCCC(=O)O)C(=O)O	2.29999995	135307936	PubChem:(135307936)	2
