rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C12H20O5	[M - H]-	C12H20O5	49.865011375609456	46.493491338780984	3.371520036828471	7	0.8367276710416627	1.4054955463372993	3.1960600317571872	0.4635993660807703	
2	C13H16N4O	[M - H]-	C13H16N4O	19.1558069158985	17.7431384357553	1.412668480143199	4	0.621488532599213	-4.87480130610178	4.87480130610178	-5.037266427047497	
3	C3H18N9O2S	[M - H]-	C3H18N9O2S	11.081845360169094	11.081845360169094	0.0	4	0.6152895445997556	8.44660117239696	8.44660117239696	3.165612508141518	
4	C10H18N3O4	[M - H]-	C10H18N3O4	6.1086879068627224	3.8152846095858193	2.293403297276903	4	0.24127585738934879	-3.0819154193047034	7.996048294648766	5.986231837761244	
5	C11H14N7	[M - H]-	C11H14N7	-0.8747603319317387	-3.028190333623628	2.1534300016918895	2	0.09129330567457009	6.723351279889074	6.723351279889074	0.4853660445160745	
6	C13H24S2	[M - H]-	C13H24S2	-0.9073989056269687	-0.9073989056269687	0.0	1	0.0	-3.2876900130131164	3.2876900130131164	-3.1108248853677405	
7	C7H17N8P	[M - H]-	C7H17N8P	-3.038054381550446	-5.074194883625486	2.03614050207504	1	0.0	-0.9695547886723682	0.9695547886723682	-0.7926900710229269	
8	C9H19N5OP	[M - H]-	C9H19N5OP	-6.534682127487579	-8.87160727922008	2.336925151732502	1	0.0	-6.492188236877096	6.492188236877096	-6.3153225424695965	
9	CH16N12OS	[M - H]-	CH16N12OS	-7.202776380163336	-7.202776380163336	0.0	1	0.0	8.511381939014122	8.511381939014122	8.688244979821992	
10	C3H20N9P2	[M - H]-	C3H20N9P2	-9.05108018131321	-9.05108018131321	0.0	1	0.0	-2.2476111301373223	2.2476111301373223	-2.0707461864450263	
