rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.11083143115520996	-149.07383783717066	C17H26O7	[M - H]-	BLBOMBITNGIELX	InChI=1S/C17H26O7/c18-11(4-1-2-6-16(21)22)8-9-13-12(5-3-7-17(23)24)14(19)10-15(13)20/h12-13,15,20H,1-10H2,(H,21,22)(H,23,24)	null	C1C(C(C(C1=O)CCCC(=O)O)CCC(=O)CCCCC(=O)O)O	-0.300000012	101677649	PubChem:(101677649)	2
2	1	N/A	-157.49754404115643	C17H26O7	[M - H]-	NKKHSPTWFBLGQC	InChI=1S/C17H26O7/c1-2-12-16(22)11(7-3-5-9-14(18)19)17(23)13(24-12)8-4-6-10-15(20)21/h1,11-13,16-17,22-23H,3-10H2,(H,18,19)(H,20,21)	null	C#CC1C(C(C(C(O1)CCCCC(=O)O)O)CCCCC(=O)O)O	0.400000006	89943041	PubChem:(89943041)	2
3	1	N/A	-158.5923797127757	C17H26O7	[M - H]-	OWVMDTFEGBHSSG	InChI=1S/C17H26O7/c1-13(9-5-7-11-21-15(3)18)23-17(20)24-14(2)10-6-8-12-22-16(4)19/h5-8,13-14H,9-12H2,1-4H3	null	CC(CC=CCOC(=O)C)OC(=O)OC(C)CC=CCOC(=O)C	2.70000005	87773661	PubChem:(87773661)	2
4	1	N/A	-172.15862609497674	C17H26O7	[M - H]-	MVQUILIFHYWNOX	InChI=1S/C17H26O7/c1-10(2)6-7-14-8-15(22-12(4)19)17(23-13(5)20)16(24-14)9-21-11(3)18/h6,14-17H,7-9H2,1-5H3	[(2R,3S,4R,6R)-3,4-diacetyloxy-6-(3-methylbut-2-enyl)oxan-2-yl]methyl acetate	CC(=CCC1CC(C(C(O1)COC(=O)C)OC(=O)C)OC(=O)C)C	2.0999999	16079210;101401871	PubChem:(16079210 101401871)	2
5	1	N/A	-179.27185038536223	C17H26O7	[M - H]-	VHNZFWUHEKWNFY	InChI=1S/C17H26O7/c1-2-3-4-9-22-11-5-7-12(8-6-11)23-17-16(21)15(20)14(19)13(10-18)24-17/h5-8,13-21H,2-4,9-10H2,1H3	null	CCCCCOC1=CC=C(C=C1)OC2C(C(C(C(O2)CO)O)O)O	1.40531659	57279125;56607551;102504647	PubChem:(57279125 56607551 102504647)	2
6	1	N/A	-182.33866875671342	C17H26O7	[M - H]-	IKGNMWMUATXCDX	InChI=1S/C17H26O7/c1-6-7-13-16(22-11(3)18)10(2)17(23-12(4)19)14(24-13)8-9-15(20)21-5/h6,10,13-14,16-17H,1,7-9H2,2-5H3	null	CC1C(C(OC(C1OC(=O)C)CC=C)CCC(=O)OC)OC(=O)C	2.0	102091799	PubChem:(102091799)	2
7	1	N/A	-183.99252043061352	C17H26O7	[M - H]-	CIRHPJJQGDLVDO	InChI=1S/C17H26O7/c1-2-3-4-9-22-11-5-7-12(8-6-11)23-16-15(20)14(19)13(10-18)24-17(16)21/h5-8,13-21H,2-4,9-10H2,1H3	null	CCCCCOC1=CC=C(C=C1)OC2C(C(C(OC2O)CO)O)O	1.40531659	69347460	PubChem:(69347460)	2
8	1	N/A	-184.5083056238214	C17H26O7	[M - H]-	MDXJCGRBKLYGOV	InChI=1S/C17H26O7/c1-11(18)24-15-10-14(19)12(13(15)8-9-17(22)23)6-4-2-3-5-7-16(20)21/h12-13,15H,2-10H2,1H3,(H,20,21)(H,22,23)	7-[3-acetyloxy-2-(2-carboxyethyl)-5-oxocyclopentyl]heptanoic acid	CC(=O)OC1CC(=O)C(C1CCC(=O)O)CCCCCCC(=O)O	1.60000002	21503825	PubChem:(21503825)	2
9	1	N/A	-187.8384529941376	C17H26O7	[M - H]-	GZXYGHDMXSDJMX	InChI=1S/C17H26O7/c1-6-7-8-14-17(23-13(5)20)16(22-12(4)19)10(2)15(24-14)9-21-11(3)18/h6,10,14-17H,1,7-9H2,2-5H3	null	CC1C(OC(C(C1OC(=O)C)OC(=O)C)CCC=C)COC(=O)C	2.0	122695058	PubChem:(122695058)	2
10	1	N/A	-191.93394759973376	C17H26O7	[M - H]-	YCMWNVPIYWHBOI	InChI=1S/C17H26O7/c1-4-13(19)22-12-9-7-8-11(10-18)16(23-14(20)5-2)17(12)24-15(21)6-3/h10-12,16-17H,4-9H2,1-3H3	null	CCC(=O)OC1CCCC(C(C1OC(=O)CC)OC(=O)CC)C=O	1.79999995	53804084	PubChem:(53804084)	2
