rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.13451795866418645	-181.18027998124637	C13H16O7	[M - H]-	OIMIOVIUFNKSAJ	InChI=1S/C13H16O7/c14-7(15)10-1-11(8(16)17)3-12(2-10,9(18)19)6-13(20,4-10)5-11/h20H,1-6H2,(H,14,15)(H,16,17)(H,18,19)	null	C1C2(CC3(CC1(CC(C2)(C3)O)C(=O)O)C(=O)O)C(=O)O	-1.0	10039509	PubChem:(10039509)	2
2	1	N/A	-185.28044454752592	C13H16O7	[M - H]-	UPGIVUDGJZHZTN	InChI=1S/C13H16O7/c14-6-9(16)11(17)12(18)10(7-15)20-13(19)8-4-2-1-3-5-8/h1-5,7,9-12,14,16-18H,6H2	null	C1=CC=C(C=C1)C(=O)OC(C=O)C(C(C(CO)O)O)O	-1.20000005	54365131;117722872	PubChem:(54365131 117722872)	2
3	1	N/A	-195.5342605755844	C13H16O7	[M - H]-	VKUVHQLMDOUYND	InChI=1S/C13H16O7/c14-6-9(15)11(17)12(18)10(16)7-20-13(19)8-4-2-1-3-5-8/h1-6,9-12,15-18H,7H2	D-Glucose, 6-benzoate	C1=CC=C(C=C1)C(=O)OCC(C(C(C(C=O)O)O)O)O	-1.20000005	20056718;20843398;117722873	COCONUT:(CNP0152338);Natural Products:(UNPD144619);PubChem:(20056718 20843398 117722873);SuperNatural:(SN00382957)	3178498
4	1	N/A	-212.56083386151585	C13H16O7	[M - H]-	VEUKLQZXYNRNGY	InChI=1S/C13H16O7/c1-19-9-4-2-8(3-5-9)13(18)20-11(7-15)12(17)10(16)6-14/h2-5,7,10-12,14,16-17H,6H2,1H3	null	COC1=CC=C(C=C1)C(=O)OC(C=O)C(C(CO)O)O	-0.600000024	129744581	PubChem:(129744581)	2
5	1	N/A	-216.57131326142405	C13H16O7	[M - H]-	SHJSIQOXIHHDJA	InChI=1S/C13H16O7/c1-3-19-12(17)10(15)7-5-6-8(9(7)14)11(16)13(18)20-4-2/h7-8H,3-6H2,1-2H3	1,3-Cyclopentanediglyoxylic acid, 2-oxo-, diethyl ester	CCOC(=O)C(=O)C1CCC(C1=O)C(=O)C(=O)OCC	1.10000002	586471	PubChem:(586471)	2
6	1	N/A	-217.54149021954245	C13H16O7	[M - H]-	QYBOZTPKEVVJKR	InChI=1S/C13H16O7/c14-6-8(11-9(15)10(16)13(18)20-11)19-12(17)7-4-2-1-3-5-7/h1-5,8-11,13-16,18H,6H2	null	C1=CC=C(C=C1)C(=O)OC(CO)C2C(C(C(O2)O)O)O	-0.899999976	70347240	PubChem:(70347240)	2
7	1	N/A	-224.3687524861331	C13H16O7	[M - H]-	VBJAOVQAVGPQKJ	InChI=1S/C13H16O7/c1-7-4-2-3-5-9(7)20-13(19)12(18)11(17)10(16)8(15)6-14/h2-5,8,10-11,14-17H,6H2,1H3	null	CC1=CC=CC=C1OC(=O)C(=O)C(C(C(CO)O)O)O	-0.600000024	91360067	PubChem:(91360067)	2
8	1	N/A	-225.4740098792345	C13H16O7	[M - H]-	NATMGOSPNIXQEZ	InChI=1S/C13H16O7/c1-8(12(17)18)4-3-5-11(16)20-13(19)9(2)6-7-10(14)15/h4H,2-3,5-7H2,1H3,(H,14,15)(H,17,18)	null	CC(=CCCC(=O)OC(=O)C(=C)CCC(=O)O)C(=O)O	0.800000012	90891541	PubChem:(90891541)	2
9	1	N/A	-225.91025108401305	C13H16O7	[M - H]-	HHPLRUGZLJZMNL	InChI=1S/C13H16O7/c1-6(4-14)3-8(16)9-10(17)7(5-15)11(18)13(20-2)12(9)19/h5-7,9,13-14H,3-4H2,1-2H3	null	CC(CC(=O)C1C(=O)C(C(=O)C(C1=O)OC)C=O)CO	-0.5	88768997	PubChem:(88768997)	2
10	1	N/A	-228.4556262907559	C13H16O7	[M - H]-	ONMLXIQAEIOCII	InChI=1S/C13H16O7/c14-8(6-7-4-2-1-3-5-7)9(15)10(16)11(17)12(18)13(19)20/h1-5,8,10-12,14,16-18H,6H2,(H,19,20)	null	C1=CC=C(C=C1)CC(C(=O)C(C(C(C(=O)O)O)O)O)O	-1.0	54159602	PubChem:(54159602);PubMed	66
11	1	N/A	-230.4499797189845	C13H16O7	[M - H]-	FOUFVMIJSDWPJZ	InChI=1S/C13H16O7/c14-6-8-9(15)11(10(16)13(18)19-8)20-12(17)7-4-2-1-3-5-7/h1-5,8-11,13-16,18H,6H2	null	C1=CC=C(C=C1)C(=O)OC2C(C(OC(C2O)O)CO)O	-0.4637658	53362891;68285148;101689207	COCONUT:(CNP0267270);Natural Products:(UNPD141087);PubChem:(53362891 68285148 101689207);SuperNatural:(SN00402166)	3178498
12	1	N/A	-231.48323266491525	C13H16O7	[M - H]-	RNSGUFVBYFJFND	InChI=1S/C13H16O7/c14-6-9(15)11(17)12(18)10(16)7-20-13(19)8-4-2-1-3-5-8/h1-5,9,11-12,14-15,17-18H,6-7H2	null	C1=CC=C(C=C1)C(=O)OCC(=O)C(C(C(CO)O)O)O	-1.0	54276391;69816986	PubChem:(54276391 69816986)	2
13	1	N/A	-231.76490165114916	C13H16O7	[M - H]-	MRDRXKCKIMVUHN	InChI=1S/C13H16O7/c14-9-8(20-13(18)11(16)10(9)15)6-19-12(17)7-4-2-1-3-5-7/h1-5,8-11,13-16,18H,6H2	6-O-Benzoyl-D-mannose	C1=CC=C(C=C1)C(=O)OCC2C(C(C(C(O2)O)O)O)O	-0.899999976	9549266;12444643;12444644;12444645;12444646	COCONUT:(CNP0287466);HMDB:(38492);Natural Products:(UNPD80031 UNPD90849);PubChem:(9549266 12444643 12444644 12444645 12444646);SuperNatural:(SN00250640 SN00400251);PubChem class - bio and metabolites;MeSH:(12444646);PubMed;KEGG Mine	8609890382
14	1	N/A	-233.26252393735209	C13H16O7	[M - H]-	XCXJQYNUMZEUFK	InChI=1S/C13H16O7/c1-4-10(15)18-8-13(7-14,20-12(17)6-3)9-19-11(16)5-2/h4-6,14H,1-3,7-9H2	null	C=CC(=O)OCC(CO)(COC(=O)C=C)OC(=O)C=C	0.899999976	54463000	PubChem:(54463000)	2
15	1	N/A	-235.12880238866282	C13H16O7	[M - H]-	WYEOBBSCVSIDHH	InChI=1S/C13H16O7/c1-4-11(15)18-8-10(20-13(17)6-3)9(7-14)19-12(16)5-2/h4-6,9-10,14H,1-3,7-8H2	null	C=CC(=O)OCC(C(CO)OC(=O)C=C)OC(=O)C=C	1.10000002	87790887;101312306	PubChem:(87790887 101312306)	2
16	1	N/A	-236.10656224740833	C13H16O7	[M - H]-	RWMIMAKGHPYEOV	InChI=1S/C13H16O7/c1-4-10(14)18-7-13(17,8-19-11(15)5-2)9-20-12(16)6-3/h4-6,17H,1-3,7-9H2	[2-hydroxy-3-prop-2-enoyloxy-2-(prop-2-enoyloxymethyl)propyl] prop-2-enoate	C=CC(=O)OCC(COC(=O)C=C)(COC(=O)C=C)O	0.899999976	14177837	PubChem:(14177837)	2
17	1	N/A	-236.68829942275872	C13H16O7	[M - H]-	XJJPCHFJHRUABG	InChI=1S/C13H16O7/c1-4-11(15)18-7-9(14)10(20-13(17)6-3)8-19-12(16)5-2/h4-6,9-10,14H,1-3,7-8H2	null	C=CC(=O)OCC(C(COC(=O)C=C)OC(=O)C=C)O	1.10000002	101312309	PubChem:(101312309)	2
18	1	N/A	-237.1824330201325	C13H16O7	[M - H]-	SHDVNJJCGLBBBT	InChI=1S/C13H16O7/c14-6-8-11(9(15)10(16)13(18)19-8)20-12(17)7-4-2-1-3-5-7/h1-5,8-11,13-16,18H,6H2	null	C1=CC=C(C=C1)C(=O)OC2C(OC(C(C2O)O)O)CO	-0.899999976	57032685	PubChem:(57032685)	2
