rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.07843956818760627	-18.10089223507684	C17H28O3S	[M - H]-	FERBTPHUEYEGDN	InChI=1S/C17H28O3S/c1-3-5-7-8-10-15(9-6-4-2)16-11-13-17(14-12-16)21(18,19)20/h11-15H,3-10H2,1-2H3,(H,18,19,20)	null	CCCCCCC(CCCC)C1=CC=C(C=C1)S(=O)(=O)O	6.0999999	15593874	NORMAN:(NS00000999);COCONUT:(CNP0193403);Training Set;PubChem:(15593874)	2375682
2	1	N/A	-19.74999341260884	C17H28O3S	[M - H]-	VCBZYWMLYUXMTM	InChI=1S/C17H28O3S/c1-3-5-6-7-8-10-15(9-4-2)16-11-13-17(14-12-16)21(18,19)20/h11-15H,3-10H2,1-2H3,(H,18,19,20)	null	CCCCCCCC(CCC)C1=CC=C(C=C1)S(=O)(=O)O	6.0999999	14921168	PubChem:(14921168)	2
3	1	N/A	-19.84993342215229	C17H28O3S	[M - H]-	WBMNOQLPFPMDME	InChI=1S/C17H28O3S/c1-3-4-5-6-7-8-9-10-15(2)16-11-13-17(14-12-16)21(18,19)20/h11-15H,3-10H2,1-2H3,(H,18,19,20)	4-undecan-2-ylbenzenesulfonic Acid	CCCCCCCCCC(C)C1=CC=C(C=C1)S(=O)(=O)O	6.0999999	6454295;124577680;124577681	PubChem:(6454295 124577680 124577681)	2
4	1	N/A	-21.986820114385992	C17H28O3S	[M - H]-	CNJFYVRWZHJOEI	InChI=1S/C17H28O3S/c1-3-5-6-7-8-9-10-15(4-2)16-11-13-17(14-12-16)21(18,19)20/h11-15H,3-10H2,1-2H3,(H,18,19,20)	Benzenesulfonic acid, 4-(1-ethylnonyl)-	CCCCCCCCC(CC)C1=CC=C(C=C1)S(=O)(=O)O	6.0999999	15593871;94842207;94842208	PubChem:(15593871 94842207 94842208)	2
5	1	N/A	-25.469007199706432	C17H28O3S	[M - H]-	UCDCOJNNUVYFKJ	InChI=1S/C17H28O3S/c1-2-3-4-5-6-7-8-9-10-11-16-12-14-17(15-13-16)21(18,19)20/h12-15H,2-11H2,1H3,(H,18,19,20)	Undecylbenzenesulphonic acid	CCCCCCCCCCCC1=CC=C(C=C1)S(=O)(=O)O	5.84429693	38222;12085571	NORMAN:(NS00063488);COCONUT:(CNP0003190);HMDB:(32549);PubChem class - food;PubChem:(38222 12085571);CHEBI:(141538);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set	220479530
6	1	N/A	-36.6466482077752	C17H28O3S	[M - H]-	XNESFGKFSZHIKF	InChI=1S/C17H28O3S/c1-2-3-4-5-6-7-8-9-10-13-16-14-11-12-15-17(16)21(18,19)20/h11-12,14-15H,2-10,13H2,1H3,(H,18,19,20)	Undecylbenzenesulfonicacid	CCCCCCCCCCCC1=CC=CC=C1S(=O)(=O)O	6.30000019	172720;23509287	PubChem:(172720 23509287);NORMAN:(NS00050109)	262146
7	1	N/A	-45.29435892253035	C17H28O3S	[M - H]-	KCASQRNHRUPIEZ	InChI=1S/C17H28O3S/c1-3-5-7-9-15(10-8-6-4-2)16-11-13-17(14-12-16)21(18,19)20/h11-15H,3-10H2,1-2H3,(H,18,19,20)	null	CCCCCC(CCCCC)C1=CC=C(C=C1)S(=O)(=O)O	6.0999999	15593876	PubChem:(15593876)	2
8	1	N/A	-52.9754556411438	C17H28O3S	[M - H]-	FTBBCQCACFWBKI	InChI=1S/C17H28O3S/c1-3-15(4-2)9-7-5-6-8-10-16-11-13-17(14-12-16)21(18,19)20/h11-15H,3-10H2,1-2H3,(H,18,19,20)	4-(7-ethylnonyl)benzenesulfonic acid	CCC(CC)CCCCCCC1=CC=C(C=C1)S(=O)(=O)O	6.0999999	20849316	PubChem:(20849316);NORMAN:(NS00066747)	262146
9	1	N/A	-57.287961234796185	C17H28O3S	[M - H]-	BQVHKMMSKWNMHU	InChI=1S/C17H28O3S/c1-4-7-14(2)8-5-6-9-15(3)16-10-12-17(13-11-16)21(18,19)20/h10-15H,4-9H2,1-3H3,(H,18,19,20)	4-(7-methyldecan-2-yl)benzenesulfonic acid	CCCC(C)CCCCC(C)C1=CC=C(C=C1)S(=O)(=O)O	5.80000019	22385524	PubChem:(22385524)	2
10	1	N/A	-59.744338817925076	C17H28O3S	[M - H]-	BDLQMCLOKCNIGN	InChI=1S/C17H28O3S/c1-7-17(5,6)12-15(16(2,3)4)13-8-10-14(11-9-13)21(18,19)20/h8-11,15H,7,12H2,1-6H3,(H,18,19,20)	null	CCC(C)(C)CC(C1=CC=C(C=C1)S(=O)(=O)O)C(C)(C)C	5.30000019	123369866	PubChem:(123369866)	2
11	1	N/A	-60.04353348436587	C17H28O3S	[M - H]-	BQEPGPGFHMOASS	InChI=1S/C17H28O3S/c1-3-4-5-6-7-10-15(2)13-14-16-11-8-9-12-17(16)21(18,19)20/h8-9,11-12,15H,3-7,10,13-14H2,1-2H3,(H,18,19,20)	2-(3-methyldecyl)benzenesulfonic acid	CCCCCCCC(C)CCC1=CC=CC=C1S(=O)(=O)O	6.0999999	18314336	PubChem:(18314336)	2
12	1	N/A	-64.56468254171095	C17H28O3S	[M - H]-	SFLBDIFHCSUBRA	InChI=1S/C17H28O3S/c1-3-4-5-6-7-8-9-10-13-16-14-11-12-15(2)17(16)21(18,19)20/h11-12,14H,3-10,13H2,1-2H3,(H,18,19,20)	null	CCCCCCCCCCC1=CC=CC(=C1S(=O)(=O)O)C	6.19999981	88361986	PubChem:(88361986)	2
