rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C19H30O9	[M - H]-	C19H30O9	157.16336676061633	153.29158532835982	3.8717814322565083	53	0.9120181397575864	1.9743418805660373	2.475493872884968	0.10945684985746315	
2	C13H31N4O8P	[M - H]-	C13H31N4O8P	144.08888805245957	142.36700575874818	1.7218822937113882	52	0.9079289893065688	2.456479737261965	2.784539693767497	2.6817523244114954	
3	C20H26N4O5	[M - H]-	C20H26N4O5	143.9650826594201	141.2993345412634	2.665748118156711	52	0.9079289893065688	2.0483476828700855	2.7259904974785845	-3.2241743534118124	
4	C12H30N6O7S	[M - H]-	C12H30N6O7S	142.56776126662612	140.41156167623092	2.156199590395195	50	0.8924547927815213	2.0483476828700855	2.510175555745799	-1.5998930894413828	
5	C17H28N3O8	[M - H]-	C17H28N3O8	141.82721098075314	138.7019771414747	3.125233839278409	53	0.9120181397575865	2.4518204990873422	2.7876219077978783	3.456279081803651	
6	C15H26N6O7	[M - H]-	C15H26N6O7	139.52919020812718	137.6793256722836	1.8498645358435903	50	0.8887692372606181	2.416151925652892	2.7259904974785845	6.803101314033219	
7	C15H33NO9P	[M - H]-	C15H33NO9P	138.95292827548482	135.88017658863447	3.0727516868503564	53	0.9120181397575865	1.79325481683457	2.475493872884968	-0.6650699078180721	
8	C18H24N7O4	[M - H]-	C18H24N7O4	134.71397626548003	131.48793889213397	3.2260373733460734	51	0.9328161203153178	1.9743418805660373	2.487196003729414	0.12264787853437539	
9	C20H34O4S2	[M - H]-	C20H34O4S2	134.6324806723298	134.6324806723298	0.0	53	0.9482903168403655	1.582573467577791	2.475493872884968	-2.0567134707291164	
10	C14H27N8O4P	[M - H]-	C14H27N8O4P	133.35526255871991	130.32074471059056	3.03451784812935	51	0.9328161203153178	1.9743418805660373	2.487196003729414	-0.65187887899947	
