rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C20H32O12	[M - H]-	C20H32O12	22.88908424960668	19.102216772432854	3.7868674771738258	5	0.802073640036742	3.5208397564240785	3.5208397564240785	0.30223112732556134	
2	C21H28N4O8	[M - H]-	C21H28N4O8	16.622090057549975	13.44774707191201	3.1743429856379657	5	0.802073640036742	3.5208397564240785	3.5208397564240785	-2.5851680096513165	
3	C17H24N10O6	[M - H]-	C17H24N10O6	16.514086145241198	13.536581764365856	2.977504380875341	5	0.802073640036742	3.5208397564240785	3.5208397564240785	3.2124808812384593	
4	C16H28N6O10	[M - H]-	C16H28N6O10	15.33029063833012	13.143744592488282	2.1865460458418378	5	0.802073640036742	3.5208397564240785	3.5208397564240785	6.099880018092613	
5	C15H29N8O7P	[M - H]-	C15H29N8O7P	15.235046048487657	12.081048223282147	3.1539978252055096	5	0.802073640036742	3.5208397564240785	3.5208397564240785	-0.3571939837070852	
6	C19H33N2O9P	[M - H]-	C19H33N2O9P	13.941711296717077	11.291681381311566	2.6500299154055114	5	0.802073640036742	3.5208397564240785	3.5208397564240785	-6.154842874596861	
7	C14H28N10O6S	[M - H]-	C14H28N10O6S	13.929627481298978	11.236560048810817	2.69306743248816	5	0.802073640036742	3.5208397564240785	3.5208397564240785	-4.065708368906682	
8	C21H36O7S2	[M - H]-	C21H36O7S2	11.957307084735042	11.957307084735042	0.0	5	0.802073640036742	3.5208397564240785	3.5208397564240785	-1.5739807067270248	
9	C24H32O7S	[M - H]-	C24H32O7S	11.595827964933456	11.595827964933456	0.0	5	0.802073640036742	3.5208397564240785	3.5208397564240785	5.704208543295393	
10	C14H33N4O11P	[M - H]-	C14H33N4O11P	11.10234599986249	9.440667555506652	1.661678444355838	5	0.802073640036742	3.5208397564240785	3.5208397564240785	2.5302051531470693	
