rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.10470554462920945	-27.824748786502262	C6H10O3	[M - H]-	MGTZCLMLSSAXLD	InChI=1S/C6H10O3/c1-5(7)3-2-4-6(8)9/h2-4H2,1H3,(H,8,9)	5-ketocaproate	CC(=O)CCCC(=O)O	-0.300000012	18407;6419736;58482229;71312826	HMDB:(61881);ZINC bio:(ZINC00901275);additional;PubMed;NORMAN:(NS00046625);PubChem:(18407 6419736 58482229 71312826);CHEBI:(15888 12154);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C02129);PubChem class - safety and toxic;Training Set;Biocyc:(5-OXOHEXANOATE)	17264568682
2	1	N/A	-36.507785448934136	C6H10O3	[M - H]-	XNIHZNNZJHYHLC	InChI=1S/C6H10O3/c1-2-3-4-5(7)6(8)9/h2-4H2,1H3,(H,8,9)	2-oxocaproate	CCCCC(=O)C(=O)O	1.0	159664;6419709	HMDB:(1864);SuperNatural:(SN00228592);ZINC bio:(ZINC01532776);MeSH:(159664 6419709);Plantcyc:(2-OXOHEXANOATE);PubMed;COCONUT:(CNP0301313);Natural Products:(UNPD5737);PubChem:(159664 6419709);YMDB Mine;CHEBI:(17308 35177);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C00902);PubChem class - safety and toxic;Biocyc:(2-OXOHEXANOATE)	51626813806
3	1	N/A	-41.78449248391721	C6H10O3	[M - H]-	CLJBDOUIEHLLEN	InChI=1S/C6H10O3/c1-2-5(7)3-4-6(8)9/h2-4H2,1H3,(H,8,9)	4-oxohexanoate	CCC(=O)CCC(=O)O	0.405897409	3799774;22390055;58340754	PubChem class - safety and toxic;Training Set;PubChem:(3799774 22390055 58340754);KEGG Mine;additional	8657584130
4	1	N/A	-43.345843202741	C6H10O3	[M - H]-	BDCLDNALSPBWPQ	InChI=1S/C6H10O3/c1-2-3-5(7)4-6(8)9/h2-4H2,1H3,(H,8,9)	3-Oxohexanoate	CCCC(=O)CC(=O)O	0.5	439658;11966264	COCONUT:(CNP0037462);HMDB:(10717);PubChem:(439658 11966264);SuperNatural:(SN00220415);CHEBI:(37030 28422);ZINC bio:(ZINC00901268);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C02122);PubMed;Biocyc:(CPD-7706)	17199802730
5	1	N/A	-59.0185133044055	C6H10O3	[M - H]-	XURWCHPWTSSQIT	InChI=1S/C6H10O3/c1-5(4-7)2-3-6(8)9/h4-5H,2-3H2,1H3,(H,8,9)	4-methyl-5-oxopentanoate	CC(CCC(=O)O)C=O	0.100000001	10953541;18667943;89028713	PubChem:(10953541 18667943 89028713);PubMed	66
6	1	N/A	-62.37670516196025	C6H10O3	[M - H]-	PNPPVRALIYXJBW	InChI=1S/C6H10O3/c7-5-3-1-2-4-6(8)9/h5H,1-4H2,(H,8,9)	6-Oxohexanoate	C(CCC(=O)O)CC=O	-0.100000001	440918;5460210	HMDB:(12882);ZINC bio:(ZINC01530346);MeSH:(440918);Plantcyc:(6-OXO-HEXANOATE);PubMed;COCONUT:(CNP0080387);PubChem:(440918 5460210);CHEBI:(18322 2490);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C06102);PubChem class - safety and toxic;Biocyc:(6-OXO-HEXANOATE)	17265994094
7	1	N/A	-65.4088698384999	C6H10O3	[M - H]-	BKAJNAXTPSGJCU	InChI=1S/C6H10O3/c1-4(2)3-5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)	bmse000383	CC(C)CC(=O)C(=O)O	0.899999976	70;3527278;12623187;11768621;10464375;25240092;44128719;71750593;71750595;89565438;102426716;130464409;131953132;135027373	HMDB:(695);PubChem class - food;SuperNatural:(SN00322466);ZINC bio:(ZINC01532578);MeSH:(70 3527278);Plantcyc:(2K-4CH3-PENTANOATE);PubMed;NORMAN:(NS00014567);COCONUT:(CNP0083590 CNP0271985);Natural Products:(UNPD79880);PubChem:(70 3527278 12623187 11768621 10464375 25240092 44128719 71750593 71750595 89565438 102426716 130464409 131953132 135027373);CHEBI:(17865 48430);PubChem class - bio and metabolites;KEGG:(C00233);PubChem class - safety and toxic;YMDB:(388);Training Set;Biocyc:(SMA-0000366 2K-4CH3-PENTANOATE SMA-0000585)	221768046
8	1	N/A	-66.9068481763637	C6H10O3	[M - H]-	ZXLSKTZECNUVIS	InChI=1S/C6H10O3/c1-4(2)5(7)3-6(8)9/h4H,3H2,1-2H3,(H,8,9)	beta-Ketoisocaproate	CC(C)C(=O)CC(=O)O	0.699999988	440024;22019185	PubChem:(440024 22019185);CHEBI:(29024 62222);ZINC bio:(ZINC00901741);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C03467);Biocyc:(CPD-7030)	17196656930
9	1	N/A	-72.91064389378528	C6H10O3	[M - H]-	YXADPHVQSSNJLB	InChI=1S/C6H10O3/c1-5(8)2-3-6(9)4-7/h7H,2-4H2,1H3	2,5-Hexanedione, 1-hydroxy-	CC(=O)CCC(=O)CO	-1.10000002	12389455	PubChem:(12389455)	2
10	1	N/A	-72.97028869413045	C6H10O3	[M - H]-	PDGUDBZIXFKFGP	InChI=1S/C6H10O3/c1-5(8)4-6(9)2-3-7/h7H,2-4H2,1H3	null	CC(=O)CC(=O)CCO	-1.0	12753229	PubChem:(12753229);PubMed	66
