rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C15H20N6O8	[M - H]-	C15H20N6O8	31.917479082843755	28.406839084035205	3.5106399988085513	10	0.9607949813277451	2.531988906377832	2.885218694862857	0.49826938124906983	
2	C11H16N12O6	[M - H]-	C11H16N12O6	27.423283937420234	26.285437569480738	1.1378463679394955	10	0.9607949813277451	2.885218694862857	3.150686292551325	7.029990136609089	
3	C16H16N10O4	[M - H]-	C16H16N10O4	25.974780858701443	23.302409398814117	2.6723714598873274	6	0.831405658096236	2.885218694862857	3.330933081592918	-2.754719067643986	
4	C13H25N4O9P	[M - H]-	C13H25N4O9P	25.925878646042005	23.24210639421155	2.6837722518304536	9	0.9487050321055318	-3.705807410494877	3.705807410494877	-3.52338143687652	
5	C14H21N8O5P	[M - H]-	C14H21N8O5P	25.030106743230025	22.589873416953495	2.4402333262765303	10	0.9607949813277451	2.531988906377832	3.150686292551325	-6.776369885631313	
6	C17H22N3O9	[M - H]-	C17H22N3O9	23.202562727804818	19.9613624894262	3.241200238378616	9	0.9487050321055318	-2.950016832312238	3.32717329544821	-2.767590996569202	
7	C9H21N10O7P	[M - H]-	C9H21N10O7P	23.16180811631457	22.599243345664583	0.5625647706499877	9	0.9487050321055318	1.2721386989514019	3.32717329544821	3.0083393183452367	
8	C16H24N6O3S2	[M - H]-	C16H24N6O3S2	22.419866854701702	22.419866854701702	0.0	7	0.8516697563203568	2.8099425903586135	3.701371363818735	-1.6154998394414546	
9	C12H24N6O8S	[M - H]-	C12H24N6O8S	22.22890222185755	20.37357409629483	1.8553281255627163	9	0.9487050321055318	-3.32717329544821	3.340877785735548	-7.701451002182994	
10	C13H18N9O7	[M - H]-	C13H18N9O7	22.06861669103337	19.514170729378026	2.554445961655343	9	0.9487050321055318	1.2721386989514019	3.340877785735548	3.764129758790817	
