rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C19H32O7	[M - H]-	C19H32O7	45.10736019060708	41.18482797434775	3.9225322162593375	16	0.8889317941630763	1.5993595731877976	1.891955582106611	0.14301456496966955	
2	C15H28N6O5	[M - H]-	C15H28N6O5	33.0210802318912	31.491066254411983	1.5300139774792125	15	0.8707117307535973	1.8327947714439412	2.115646235154346	7.377155635084245	
3	C15H35NO7P	[M - H]-	C15H35NO7P	31.261214626758267	28.380769581964618	2.88044504479365	15	0.8707117307535973	1.6745437941523313	1.9511163927692807	-0.6940534713729536	
4	C13H33N4O6P	[M - H]-	C13H33N4O6P	30.323403969116278	28.92617007610939	1.3972338930068893	15	0.8707117307535973	1.8327947714439412	2.115646235154346	2.9230170638374653	
5	C12H32N6O5S	[M - H]-	C12H32N6O5S	30.172320294001977	28.319360345840003	1.8529599481619754	15	0.8707117307535973	1.6745437941523313	1.9511163927692807	-1.704361504264436	
6	C18H33N2O4P	[M - H]-	C18H33N2O4P	30.09728748064762	27.82721845936851	2.2700690212791104	15	0.8707117307535973	1.6745437941523313	2.115646235154346	-7.913938367015695	
7	C14H34N3O6S	[M - H]-	C14H34N3O6S	28.632344855080216	26.546230926442945	2.0861139286372694	15	0.8707117307535973	1.6745437941523313	2.115646235154346	-5.3214320391685925	
8	C17H30N3O6	[M - H]-	C17H30N3O6	28.60373250428233	25.613397342855393	2.9903351614269384	15	0.8707117307535973	1.8327947714439412	2.115646235154346	3.760085099873826	
9	C20H28N4O3	[M - H]-	C20H28N4O3	26.07337212905199	23.32192023356667	2.7514518954853218	13	0.6629948784651656	1.358862261208272	3.2210095700961907	-3.459799795615784	
10	C22H30NO4	[M - H]-	C22H30NO4	25.683659969665346	24.231518276188417	1.4521416934769285	15	0.8707117307535973	1.6745437941523313	2.115646235154346	-7.076870330826203	
