rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C10H14O5	[M - H2O - H]-	C10H12O4	44.653897585791746	41.36301349226645	3.2908840935252988	8	0.7165019368645538	2.783921047266382	2.7921420173517717	-92328.93170366787	
2	C3H14N6O3S	[M - H2O - H]-	C3H12N6O2S	28.242417023596886	28.242417023596886	0.0	8	0.7165019368645538	-2.015578063435041	2.015578063435041	-92332.44722165332	
3	C6H17NO5P	[M - H2O - H]-	C6H15NO4P	26.13490332960368	25.052057663035065	1.0828456665686177	8	0.7165019368645538	0.4830229552662104	0.7354010369121525	-92330.5246266169	
4	C8H12N3O4	[M - H2O - H]-	C8H10N3O3	15.893180892626464	14.60126330319051	1.2919175894359534	7	0.6553238609036713	2.601358839405118	3.7445658563220094	-92322.04849416231	
5	C4H15N4O4P	[M - H2O - H]-	C4H13N4O3P	11.306664103011006	11.306664103011006	0.0	7	0.6553238609036713	0.4222911850048112	1.395852581600448	-92323.64141711134	
6	CH12N9O2S	[M - H2O - H]-	CH10N9OS	3.4515548932507123	3.4515548932507123	0.0	7	0.6553238609036713	-1.49472316488534	2.7025712016781505	-92325.56401214776	
7	C11H10N4O	[M - H2O - H]-	C11H8N4	2.8575778715572397	0.4914891871525473	2.3660886844046924	2	0.0	-5.356140125243267	5.356140125243267	-92335.787783972	
8	C5H16N3O4S	[M - H2O - H]-	C5H14N3O3S	-5.5673200857850915	-5.5673200857850915	0.0	3	0.06065238221290971	2.30982840473407	11.208615444281493	-92339.33043115858	
9	C3H16N6OP2	[M - H2O - H]-	C3H14N6P2	-7.297972307709572	-7.297972307709572	0.0	2	0.0	-8.54198577829022	8.54198577829022	-92338.97362987003	
10	C7H13N5OP	[M - H2O - H]-	C7H11N5P	-7.345454268191159	-8.90765475394014	1.5622004857489804	2	0.0	-6.949062951766743	6.949062951766743	-92337.38070692089	
