rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C18H28O5	[M - H]-	C18H28O5	52.1063730967835	48.27335892804635	3.8330141687371486	17	0.9656647665336967	1.5515297362716713	1.8223562194040381	0.5336115624524969	
2	C16H26N3O4	[M - H]-	C16H26N3O4	32.76227534374322	30.116425682464175	2.6458496612790454	15	0.9028627020437827	2.8971352536186057	3.189575057258861	4.688128255244148	
3	C12H29N4O4P	[M - H]-	C12H29N4O4P	32.255388191770436	31.46278128799786	0.7926069037725751	16	0.9471335862502785	2.8982011144130584	3.044421016233186	3.726683601126083	
4	C14H24N6O3	[M - H]-	C14H24N6O3	31.516989547805426	30.719590559782205	0.7973989880232213	10	0.6331545202717751	2.623594818528696	2.8982011144130584	8.842644948387568	
5	C14H31NO5P	[M - H]-	C14H31NO5P	31.202084207884525	28.49916687104472	2.7029173368398025	15	0.9028627020437828	1.315761980968008	1.5993623965454422	-0.42783309184145224	
6	C11H28N6O3S	[M - H]-	C11H28N6O3S	30.626139049041768	29.26013888604858	1.3660001629931902	15	0.813785666563781	-0.4247376734117047	2.521750033940054	-1.5882587861621171	
7	C15H32O5S	[M - H]-	C15H32O5S	27.847384316331958	26.566640498072566	1.280743818259392	15	0.9196669623007889	1.5515297362716713	2.768700812742826	-9.897292172097188	
8	C13H30N3O4S	[M - H]-	C13H30N3O4S	27.032005765055494	25.255793515601134	1.7762122494543615	14	0.8999206867046697	1.5377845606047036	2.8982011144130584	-5.742775479305537	
9	C17H29N2O2P	[M - H]-	C17H29N2O2P	25.845036976343565	23.806824051387895	2.03821292495567	12	0.6752179162092152	1.5138682304678182	2.8329180331807158	-8.720492034909832	
10	C19H24N4O	[M - H]-	C19H24N4O	23.29464516053787	20.49160264787799	2.8030425126598777	8	0.5533098649329745	-1.3190531381680328	2.6643509857621694	-3.6045306876483463	
