rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C9H12O5	[M - H]-	C9H12O5	148.27054401174257	145.60763365964766	2.6629103520949133	37	0.9118916126777397	1.7379956235767022	2.9993634818805472	1.7229249334853924	
2	C7H10N3O4	[M - H]-	C7H10N3O4	71.34574688831358	71.27531194373331	0.07043494458027144	31	0.5412684421121343	0.7214715312937183	3.0962329850956665	8.467994824976842	
3	C5H15NO5P	[M - H]-	C5H15NO5P	52.25011870565919	52.25011870565919	0.0	25	0.3584393623610016	-0.17765489852992297	1.450014911053611	0.16197046679507265	
4	C10H8N4O	[M - H]-	C10H8N4O	11.926932518111695	9.283482754916978	2.6434497631947167	12	0.19759818874751683	-4.133745285658539	4.133745285658539	-4.995560214427134	
5	C4H14N3O4S	[M - H]-	C4H14N3O4S	9.686881351743857	9.686881351743857	0.0	11	0.13518604657139263	-4.326761976320307	4.326761976320307	-8.467109766428141	
6	C2H12N6O3S	[M - H]-	C2H12N6O3S	7.1728361292024125	7.1728361292024125	0.0	9	0.1804005417310208	-1.7069691330700727	2.1695902425801066	-1.7220398750794688	
7	C6H11N5OP	[M - H]-	C6H11N5OP	0.8255656493016907	0.5513369648134558	0.2742286844882349	8	0.14026670230235685	-2.3685080296436234	2.3685080296436234	-6.556514680974676	
8	C10H16S2	[M - H]-	C10H16S2	-0.8405079800344923	-0.8405079800344923	0.0	2	0.014740840299853774	-1.2325212935302803	1.3951078385043267	-2.642699887919009	
9	C3H13N4O4P	[M - H]-	C3H13N4O4P	-1.5909618956171805	-1.5909618956171805	0.0	13	0.20352433549289042	-0.46588326091527094	3.5157458397431958	6.9070403582865225	
10	C8H6N7	[M - H]-	C8H6N7	-1.9713659641819965	-3.755313543248697	1.7839475790667003	3	0.02069525574175775	13.823932058935549	13.823932058935549	1.749509676921537	
