rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C18H30O3S	[M - H]-	C18H30O3S	21.65222846634434	13.441118743489454	8.211109722854886	10	0.9095518001469508	0.40511695906669587	0.8009741537520171	0.5862275180147691	
2	C14H33NO3PS	[M - H]-	C14H33NO3PS	16.8735919421228	9.39309353763475	7.480498404488051	9	0.8942689199118297	-0.5867905316420869	0.5867905316420869	-0.36931008964134404	
3	C11H30N6OS2	[M - H]-	C11H30N6OS2	12.091167125803802	6.670287299020358	5.420879826783444	6	0.8629684055841293	-2.522070565004774	2.522070565004774	-1.5226062123351687	
4	C16H28N3O2S	[M - H]-	C16H28N3O2S	9.224551959742506	1.7953280059202443	7.4292239538222615	6	0.8580088170462896	4.625158742106571	4.625158742106571	4.715219159777861	
5	C20H27N2P	[M - H]-	C20H27N2P	5.811889627153536	2.6544658156581296	3.1574238114954065	7	0.8774063188831743	3.8088697044910824	3.8088697044910824	1.7557974800040728	
6	C17H31N2PS	[M - H]-	C17H31N2PS	4.377032731141639	-1.7669495302338811	6.14398226137552	6	0.8580088170462896	4.253961379182609	4.7587327036522264	-8.611019534221658	
7	C21H28NS	[M - H]-	C21H28NS	3.7766373911617164	-1.1719569174985587	4.948594308660275	6	0.8580088170462896	4.253961379182609	4.7587327036522264	-7.655481926565544	
8	C14H26N6OS	[M - H]-	C14H26N6OS	3.7060788440803862	-1.5727290941542278	5.278807938234614	1	0.0	8.748881132958932	8.748881132958932	8.844210801890561	
9	C13H32N3O2S2	[M - H]-	C13H32N3O2S2	3.525963847456102	-2.00523526479903	5.531199112255132	1	0.0	-5.746928905097556	5.746928905097556	-5.651597854273065	
10	C12H31N4O2PS	[M - H]-	C12H31N4O2PS	3.02956860280497	-2.555691556846486	5.585260159651456	1	0.0	3.6643513984793428	3.6643513984793428	3.7596815521217484	
