rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C12H14O7	[M - H]-	C12H14O7	79.2631605618404	77.20432656176078	2.0588340000796084	13	0.9273769116082166	1.4533712041475777	2.5238060800254263	-8.571688289505493	
2	C9H19O5PS	[M - H]-	C9H19O5PS	70.79811417487848	69.15800750998541	1.640106664893066	13	0.9273769116082166	1.8595049638452186	2.5238060800254263	9.533458816888265	
3	C10H12N3O6	[M - H]-	C10H12N3O6	67.67797070798599	64.69040970223884	2.9875610057471595	13	0.9273769116082166	1.4533712041475777	3.340877785735548	-3.5814920773205756	
4	C8H10N6O5	[M - H]-	C8H10N6O5	66.9099161946991	64.39046974510896	2.5194464495901316	13	0.6742068790499565	1.4533712041475777	2.5238060800254263	1.4087041348643414	
5	C8H18N2O4S2	[M - H]-	C8H18N2O4S2	58.42896378495906	58.42896378495906	0.0	12	0.6389955099015755	1.6883334708234425	2.8347536067434245	3.149417704524972	
6	C8H17NO7P	[M - H]-	C8H17NO7P	51.25998625767038	50.1665953783682	1.0933908793021752	12	0.6389955099015755	1.4309863299741812	2.932341932880487	-9.726527185526	
7	C7H14N2O9	[M - H]-	C7H14N2O9	48.42768771621075	47.351755920112566	1.0759317960981822	11	0.5368767717432368	1.4533712041475777	3.340877785735548	6.379232190965466	
8	C6H15N4O6P	[M - H]-	C6H15N4O6P	37.387777658785026	36.308023063461114	1.0797545953239132	10	0.44073906385629386	1.3611325203131526	2.632086761617428	-4.736330973341085	
9	C9H21O3P3	[M - H]-	C9H21O3P3	37.33618791775255	34.971465794473765	2.3647221232787827	11	0.5368767717432368	1.4533712041475777	3.340877785735548	4.801936765367533	
10	C7H11N8O2P	[M - H]-	C7H11N8O2P	33.83369494305708	32.53225364946894	1.3014412935881432	8	0.53362959716002	-0.5126059729104375	2.3974356843030558	-9.706859029653472	
